Investor name,Website,Global HQ,Countries of investment,Stage of investment,Investment thesis,Investor type,First cheque minimum,First cheque maximum
[sīc] Ventures,https://www.sicstudio.org/ventures/ventures,"San Francisco, CA","Vietnam,Uzbekistan,Egypt,Kenya,Niger,Japan,Argentina,Algeria,Morocco,Thailand,Philippines,Malaysia,Singapore","1. Idea or Patent,2. Prototype,3. Early Revenue,5. Growth",We invest in emerging markets startups.,VC,"$10,000","$200,000"
1 4 All Group,https://1-4-all.group/,"IFZA Business Park, Building A2, Dubai Silicon Oasis, Dubai, UAE","Botswana,DRC Congo,Côte d'Ivoire,Ethiopia,Ghana,Kenya,Mauritius,Nigeria,Rwanda,Senegal,South Africa,Tanzania,Uganda,Zambia,Argentina,Brazil,Canada,Chile,Costa Rica,Cuba,Jamaica,Mexico,Trinidad and Tobago,USA,Uruguay,Azerbaijan,Bangladesh,China,Hong Kong,India,Indonesia,Japan,Kazakhstan,Kyrgyzstan,Malaysia,Pakistan,Philippines,Singapore,South Korea,Sri Lanka,Taiwan,Tajikistan,Thailand,Turkmenistan,Uzbekistan,Vietnam,Armenia,Austria,Belarus,Belgium,Bosnia-H,Bulgaria,Croatia,Cyprus,Czech Republic,Denmark,Estonia,Finland,France,Georgia,Germany,Gibraltar,Greece,Hungary,Iceland,Ireland,Italy,Latvia,Liechtenstein,Lithuania,Luxembourg,Malta,Monaco,Montenegro,Netherlands,North Macedonia,Norway,Poland,Portugal,Romania,Russia,Serbia,Slovakia,Slovenia,Spain,Sweden,Switzerland,UK,Algeria,Bahrain,Egypt,Iran,Iraq,Israel,Jordan,Kuwait,Morocco,Oman,Qatar,Saudi Arabia,Tunisia,Turkey,UAE,Australia,New Zealand","3. Early Revenue,4. Scaling,5. Growth","We invest in Financial, Consumer, Healthcare, Energy/Mining/Industrials, IT/Media, and Infrastructure sectors. Value investors seeking realistic valuations and pivot-ready startup or early-stage cases. Special interest in 'neglected' cases: minority/female-led ventures, emerging markets, smaller enterprises, and investment management startups.",Angel network,"$50,000","$14,000,000"
01 Ventures,https://www.01ventures.com/,"Singel 542, Amsterdam, North Holland 1017 AZ, NL","UK,Netherlands","2. Prototype,3. Early Revenue",We invest in deep tech innovations including software and hardware solutions to the world's biggest challenges.,VC,"$250,000","$2,000,000"
1Sharpe Ventures,https://www.1sharpe.ventures/,"2201 Broadway, Oakland, CA","USA,Canada,Mexico,Brazil,UK,France,Ireland,Germany","2. Prototype,3. Early Revenue,1. Idea or Patent","We invest in Fintech, Real Estate Tech, Proptech,Architecture, Engineering, Construction, Supply Chain, Logistics, Climate, Commerce, and hospitality, Pre-Seed through Series A.  ",VC,"$500,000","$2,000,000"
1st Course Capital,https://www.1cc.vc/,"541 Jefferson Ave., Suite 100, Redwood City, CA 94063",USA,"2. Prototype,3. Early Revenue,4. Scaling","We invest in business model and technology innovations across the food supply chain, from inputs and agriculture, through processing, distribution, retail, all the way to consumer health.",VC,"$25,000","$200,000"
2|Twelve,https://212angels.com,"17 Salt Landing, Tiburon, CA 94920, United States",USA,"2. Prototype,3. Early Revenue","We invest in B2B,Enterprise, SaaS, B2B Fintech at seed stage.",VC,"$100,000","$300,000"
3CC Third Culture Capital,https://3cc.io,"1 Washington Mall, Suite 1151, Boston, MA 02108, United States","USA,France,Canada,Vietnam","3. Early Revenue,4. Scaling,2. Prototype,1. Idea or Patent",We invest in diverse founders who innovate at the intersection of culture and healthcare delivery.,VC,"$250,000","$2,000,000"
3cubed VC,https://3cubed.vc,"100 Pine St, STE 1250, San Francisco, California 94111, US","USA,Germany,UK,UAE,Spain,South Africa,Tanzania,Liberia,Australia,Canada,Israel,Mexico","1. Idea or Patent,2. Prototype,3. Early Revenue,5. Growth","We invest in AI, Fintech, Blockchain Tech, Enterprise Software, Consumer Internet, Health Tech. We invest in people first, guided by trusted relationships, intuition, and seasoned judgment of character, because great individuals create enduring value beyond what data alone can reveal.",VC,"$50,000","$1,000,000"
3one4 Capital,https://www.3one4capital.com,"Office #1, 5th Floor, 1 Sobha 50, St Mark's Rd, Ashok Nagar, Bengaluru, Karnataka 560001","India,USA,Singapore","2. Prototype,3. Early Revenue,4. Scaling","We invest in SaaS, Enterprise & SMB Automation, Fintech, Consumer Internet, and Digital Health, with a focus on areas such as machine-driven actionable intelligence services, digital media, ambient intelligence technologies, logistics and distribution, and climate and sustainability tech.",VC,"$100,000","$5,000,000"
3VC,https://www.three.vc/,"Seilergasse 9, 1010 Vienna, Austria","Austria,Bulgaria,Croatia,Czech Republic,Estonia,Germany,Hungary,Latvia,Lithuania,Poland,Romania,Serbia,Slovakia,Slovenia,Switzerland,Ukraine","3. Early Revenue,4. Scaling","We invest in AI, dev tools, deep tech, security, AR/VR, data analytics, digital health, app/mobile, new frontier

We start to support at Seed stage and invest in Series A, B and beyond.

We are looking for teams in the GSA & CEE region with the clear intention to make a difference in the world

We co-invest in syndicates with Tier 1 funds (eg. Forbes’ Midas List) with the ability to proactively support these teams.",VC,"$1,000,000","$5,000,000"
4F Ventures,https://4fventures.com/,"Remote, Orange County, CA","USA,Canada","2. Prototype,3. Early Revenue,4. Scaling",We invest in traditionally overlooked founders building seed-stage eCommerce and FinTech companies across North America. Tickets up to $250K.,VC,"$50,000","$250,000"
4impact,https://www.4impact.vc/,"The Hague, Netherlands","Netherlands,Germany,Switzerland,Austria,Sweden,Denmark,Norway,Finland,UK","2. Prototype,3. Early Revenue","We invest in European software startups that achieve tangible positive impact in environment, health, or inclusion.",VC,"$500,000","$3,000,000"
7percent Ventures,http://www.7percent.vc,"207 Regent Street, London, United Kingdom","USA,Albania,Andorra,Austria,Belarus,Belgium,Bosnia-H,Bulgaria,Croatia,Cyprus,Czech Republic,Denmark,Estonia,Finland,France,Georgia,Germany,Greece,Holy See,Hungary,Iceland,Ireland,Italy,Latvia,Liechtenstein,Lithuania,Luxembourg,Malta,Moldova,Monaco,Montenegro,Netherlands,North Macedonia,Norway,Poland,Portugal,Romania,San Marino,Serbia,Slovakia,Slovenia,Spain,Sweden,Switzerland,UK,Ukraine","1. Idea or Patent,2. Prototype,3. Early Revenue","We invest in frontier (i.e. deeptech) and transformative technologies (fundamentally changing the dynamics of a market, the way the sector works).
Our sweet spot is first or second money-in, including the conceptual and pre-revenue rounds. We invest between $100k and $2m, depending on stage, with an average first investment of $500k.",VC,"$100,000","$2,000,000"
9Unicorns,https://www.9unicorns.in/,"Mittal Commercia, Sakinaka, Hasan Pada Rd, Mittal Industrial Estate, Marol, Andheri East, 203-206, Mumbai, Maharashtra 400059, IN",India,"3. Early Revenue,4. Scaling,2. Prototype,1. Idea or Patent",We invest in early stage startups across all sectors. The fund will operate uniquely as an accelerator & invest in very early-stage startups. It aims to disrupt idea stage funding in India by providing initial capital of $100K with further committed capital for deserving portfolio companies. The accelerator VC will fund 100+ early-stage startups in 3 years.,VC,"$100,000","$2,000,000"
10D,https://www.10d.vc/,"28 HaArba’a Street. Northern Tower, 11th Floor. Tel Aviv, Israel",Israel,"1. Idea or Patent,2. Prototype,3. Early Revenue","We invest in Israeli and Israeli-related exceptional entrepreneurs, from early-stage to Seed and Series A rounds. We are looking for startups who disrupt markets by using deep technology, creating new business models, and featuring entrepreneurial teams in digital health, fintech, insurance, computer vision, and artificial intelligence.",VC,"$500,000","$5,000,000"
10K Ventures,https://www.10kventures.co/,"Berlin, Germany","Kenya,Nigeria,Brazil,Colombia,Mexico,India,Indonesia,Philippines,Singapore,Vietnam,France,Germany,Spain,UK,Egypt,Israel,UAE","1. Idea or Patent,2. Prototype,3. Early Revenue","We invest in early stage startups and funds globally

Our (Hypo)thesis here 👉
https://10kv.notion.site/The-10KV-Hypo-thesis-c1bf235da3ea426eb79a3a6eabc2b92c",Family office,"$100,000","$200,000"
10x Founders,https://www.10xfounders.com/,"Briennerstraße 21, 80333 Munich, Germany","Germany,Austria,Switzerland,France,UK,Poland,Czech Republic,Spain,Portugal,Italy,Norway,Sweden,Finland,Denmark,USA","1. Idea or Patent,2. Prototype,3. Early Revenue","We invest in the most ambitious tech founders in pre/seed across Europe and the US. 

Big plus if you're building in deep tech, fintech, enterprise software, SME software, or anything software-related. ",VC,"$100,000","$3,000,000"
10X Venture Partners,https://10xvp.com,"Elm Street, Manchester, NH",USA,"2. Prototype,3. Early Revenue,4. Scaling","We invest in SaaS, AI, Artificial Intelligence, CV, Computer Vision SportsTech, CyberSecurity, mobile, internet, software, marketplaces, logistics",Angel network,"$20,000","$200,000"
11 Tribes Ventures,https://11tribes.vc/,"Chicago, IL",USA,"2. Prototype,3. Early Revenue,4. Scaling",We invest in purpose driven entrepreneurs that are creating category defining technologies.  We are multi-sector investors focused on the underwriting of people. We want to work with founders that are obsessed with a problem and not just their own solution and are looking for a partner to take taking their business to the next level.,VC,"$100,000","$300,000"
13o3,https://13o3.com,"24/25, The Shard, 32 London Bridge St, London SE1 9SG, United Kingdom","Bahrain,Australia,Austria,Belgium,Benin,Brazil,Canada,Cyprus,Denmark,Estonia,Finland,France,Germany,Greece,Hong Kong,USA,UK,Ukraine,UAE,Switzerland,Sweden,Turkey,Spain,Saudi Arabia","6. Pre-IPO,5. Growth,4. Scaling,3. Early Revenue,2. Prototype,1. Idea or Patent","We invest in IoT, Blockchain, Real Estate, Media, B2B Saas, Clean Energy, Supply Chain and Logistics, Insure-tech, Fintech, and Web3. ",PE fund,"$200,000","$1,000,000"
14Peaks Capital,https://www.14peaks.capital/,"St. Andreas 7 Cham, ZUG, 6330 Switzerland ","Switzerland,Germany,Austria,Italy,France,Spain,Portugal,Belgium,Netherlands,Denmark,Finland,Sweden,Norway,UK,Ireland,USA","2. Prototype,3. Early Revenue,4. Scaling","We invest in 
- Stage: Pre-Seed, Seed and Series A
- Business model: B2B SaaS
- Sectors: Fintech, Future of Work
- Geo: EU, UK and USA ",VC,"$300,000","$1,000,000"
20 Ventures,http://20v.it/,"11, Via Cesare Beccaria, 00196 Roma, RM Italy","Italy,France,Spain","1. Idea or Patent,2. Prototype,3. Early Revenue","We invest in disruptive ideas and talented people. We are not a venture capital nor an accelerator, we are a Venture Builder focused on pre-seed stage. We select ideas driven by people who yearn to make them into real, concrete and competitive ventures. 

Because a good idea is not enough to succeed.",Startup studio,"$60,000","$120,000"
27V (Twenty Seven Ventures),https://twentyseven.ventures/,"Cayman Islands, KY","USA,Canada,UK,Hong Kong,Taiwan,New Zealand","2. Prototype,1. Idea or Patent,3. Early Revenue","We invest in global EdTech and Future of Work startups at the Pre-Seed/Seed stages. Check size ranging from $25K-$250K, avg is $100K.",VC,"$25,000","$250,000"
30N Ventures,https://30n.vc,"Santiago, Chile","Kenya,Nigeria,South Africa,Brazil,Chile,Colombia,Mexico,Peru,India,Indonesia,Singapore,Thailand,Vietnam,Egypt,Morocco","3. Early Revenue,4. Scaling,5. Growth","We invest in:

Stages 
Late Seed, Series A.

Sectors
- Fintech: Transforming the financial landscape with new models and technologies.
- Foodtech: Shaping the future of food production, distribution, and consumption.
- Retail: Revolutionizing e-commerce, marketplaces, and logistics for a seamless customer experience.",VC,"$300,000","$5,000,000"
34 Elements Academy,https://www.34elements.com/,"Paris, France",France,"1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling",We support startups and help them ask the right strategic questions,"Incubator, Accelerator","$0","$0"
35 North Ventures,https://www.35northventures.com/,"Level 3, B-Wing, The Capital,  Bandra Kurla Complex (BKC), Bandra East,  Mumbai – 400051, India",India,"5. Growth,6. Pre-IPO","We invest in early growth-stage companies, Pre-Series A and above.",VC,"$1,000,000","$5,000,000"
